,Omics,Acc_NB,Acc_SVM,Acc_RF,f1_NB,f1_SVM,f1_RF
0,CLI,0.3318181818181818,0.3883838383838384,0.3868686868686869,0.2105776200093806,0.2097242141054352,0.1913055243548327
1,CNA,0.4616161616161616,0.5489898989898989,0.5409090909090908,0.3770949423538905,0.4075211150101979,0.3971737291254567
2,RNA,0.4681818181818181,0.6424242424242426,0.6141414141414142,0.3755071490180953,0.4831448713953305,0.4711621782423578
3,H_VAE,0.5146464646464646,0.5944444444444443,0.5707070707070707,0.4133073453864931,0.4446917252089169,0.42562013599544973
