Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A7-A0DA,0.47786707,0.92239136,0.3286535,0.85668504,0.19132379,0.24795464,0.5226539,0.3785903,0.4862342,0.5807625,0.4449439,0.58147734,0.75543845,0.5092577,0.37186697,0.6461198,0.84612894,0.56593275,0.41201323,0.30710343,0.49879646,0.38384908,0.23487222,0.6812291,0.8255789,0.8924212,0.82072014,0.3900543,0.3280802,0.3686251,0.5392368,0.27554235,0.21014741,0.36353102,0.2440298,0.44657075,0.7122818,0.8743454,0.6691451,0.540099,0.5839327,0.32089612,0.64550257,0.51645195,0.90367603,0.7972409,0.86876744,0.70456386,0.5360807,0.5182324,0.8353815,0.76943874,0.73656946,0.42593098,0.16647421,0.7131464,0.5600068,0.47330552,0.24763776,0.56615716,0.7241016,0.56491554,0.22529301,0.36928523,0.6142352,0.81357163,0.55310583,0.576036,0.28280777,0.31758502,0.43121448,0.24633412,0.4164238,0.22744031,0.8379959,0.51124126,0.8360807,0.42082667,0.21168476,0.9072859,0.49869865,0.8715645,0.79470253,0.19679412,0.75238156,0.8386548,0.8338995,0.751094,0.23941833,0.4285746,0.86178625,0.16152734,0.6290155,0.759613,0.55484045,0.5748273,0.5688102,0.81820077,0.2941591,0.5478027
A8-A08O,0.41216522,0.5935224,0.3991627,0.33996534,0.32026416,0.6465737,0.47111142,0.44233018,0.5565547,0.7892108,0.8450928,0.3089922,0.52602524,0.53757155,0.77859354,0.5950359,0.49286073,0.42981568,0.5802861,0.5400784,0.28323868,0.65618265,0.57035875,0.47387862,0.47536406,0.4504328,0.7215876,0.70884514,0.775386,0.73185754,0.4559595,0.67556393,0.7644063,0.6864947,0.41091543,0.7406727,0.6320994,0.60180914,0.3111225,0.42285925,0.60467494,0.56407046,0.8693784,0.77359676,0.3888479,0.6346874,0.6833224,0.38410145,0.6770084,0.2770532,0.6322365,0.61901534,0.50418484,0.61188555,0.61867046,0.4680665,0.46574813,0.7025291,0.5754706,0.56192684,0.33625036,0.4906128,0.5283032,0.5029232,0.53848004,0.5130799,0.6834201,0.44215378,0.8007217,0.60563123,0.6597221,0.70037544,0.3590206,0.544839,0.4668877,0.56492394,0.54123545,0.7828406,0.74167114,0.44661975,0.36024964,0.6665797,0.41307926,0.51240563,0.64596957,0.5704918,0.57137394,0.4357952,0.6409955,0.39838672,0.48014525,0.49390328,0.6484476,0.5885947,0.48331064,0.43386948,0.51991385,0.46476084,0.6248925,0.5335799
A8-A08P,0.6653203,0.44491336,0.6018721,0.58264625,0.8727068,0.71484447,0.31622565,0.5727569,0.57638216,0.489954,0.4721107,0.54710954,0.45655027,0.42422232,0.6712888,0.47703835,0.5586101,0.61316186,0.5256118,0.48881352,0.50673485,0.7165144,0.46665296,0.7658299,0.57068056,0.67583483,0.21674529,0.5354428,0.6920816,0.40412998,0.43099517,0.716536,0.69084823,0.25486976,0.7430652,0.43110543,0.5268094,0.31339535,0.6752388,0.7678349,0.6418648,0.6427565,0.571494,0.6607412,0.6505734,0.824261,0.6769179,0.5032083,0.39781812,0.7146316,0.5980217,0.7975272,0.32169056,0.6204725,0.5059629,0.6344328,0.63274527,0.49261177,0.6553927,0.58222663,0.66397715,0.46731722,0.36873612,0.68062687,0.33975786,0.45854276,0.4979837,0.6775873,0.7269287,0.4710578,0.36554697,0.532913,0.8218795,0.8448409,0.39994395,0.37886843,0.4434357,0.5075294,0.32157242,0.36970842,0.6117297,0.3907818,0.7386657,0.7028547,0.41358763,0.31853324,0.25110248,0.52452123,0.6972587,0.77600926,0.46895075,0.62035465,0.38847324,0.6020568,0.7871583,0.55371386,0.7772513,0.62252367,0.61647093,0.33717817
AC-A2FB,0.42141807,0.7069033,0.6511067,0.43010613,0.4809945,0.66409695,0.7241542,0.5773249,0.44838613,0.3480353,0.54174507,0.4105237,0.6168689,0.7725678,0.6259512,0.81932056,0.49979544,0.24970596,0.5968058,0.544451,0.69147074,0.7562552,0.66328955,0.628555,0.18700293,0.49151808,0.44669566,0.7772095,0.64563054,0.54793626,0.6563064,0.72697103,0.56481075,0.85378236,0.5280425,0.30793127,0.39651507,0.29665,0.63588625,0.20061436,0.6426313,0.34032577,0.6659899,0.6914374,0.15749933,0.32687545,0.22030452,0.6838225,0.71408385,0.61030245,0.24474181,0.55684084,0.48489237,0.4617127,0.7735112,0.27711245,0.40164,0.8223177,0.73798054,0.6469197,0.35527432,0.8677362,0.5332178,0.7248721,0.4081918,0.573815,0.6507318,0.29505935,0.27310702,0.6925872,0.55679053,0.52240574,0.726853,0.6372242,0.38633478,0.5476291,0.6091447,0.56672955,0.68966347,0.4815805,0.389289,0.32111055,0.38744596,0.54308915,0.64421654,0.38949746,0.80662656,0.54387057,0.39541295,0.4382555,0.62600976,0.65188587,0.46945214,0.80422235,0.4627669,0.7640344,0.42293555,0.5824361,0.498348,0.741215
AN-A0FV,0.40493834,0.6378922,0.23987076,0.30924886,0.75064754,0.5196784,0.19243112,0.35396323,0.12691098,0.13546054,0.3226028,0.3672219,0.48822838,0.80755496,0.8310578,0.67462534,0.29669833,0.887424,0.37145093,0.5042375,0.2146052,0.5094021,0.40701386,0.31144765,0.78093797,0.9348861,0.47437608,0.55046546,0.43203676,0.13693327,0.5310724,0.7849457,0.6503767,0.15162098,0.7210257,0.59547156,0.47250724,0.4077656,0.85722804,0.6981136,0.83208156,0.7613847,0.72690123,0.5842235,0.8966118,0.5695852,0.6403916,0.3772514,0.80788374,0.69622916,0.67941976,0.89592755,0.10278733,0.7122543,0.64405036,0.8236753,0.89599144,0.63091683,0.52513486,0.27723947,0.7099963,0.23716739,0.3173147,0.4998517,0.61169773,0.69509304,0.09006585,0.4403137,0.5678065,0.62788606,0.74933183,0.351874,0.62577903,0.8290285,0.60152954,0.8650538,0.8566093,0.6804095,0.2549504,0.5328238,0.2079877,0.54074013,0.861558,0.5138039,0.6462791,0.45810193,0.36141753,0.54487014,0.66194504,0.26511264,0.9022483,0.47391623,0.49132216,0.44590622,0.33758527,0.3037907,0.90182567,0.42837837,0.2998116,0.688419
AO-A0JM,0.5650675,0.47046253,0.21166337,0.28057694,0.5557753,0.6080529,0.50876856,0.31967098,0.33762655,0.51199687,0.5287523,0.5049164,0.5328685,0.5678972,0.57564723,0.4257358,0.5575929,0.85250497,0.55505335,0.6154219,0.47426432,0.26839247,0.6527171,0.4178826,0.74678653,0.5821608,0.56124824,0.44275504,0.5314008,0.5379189,0.39370558,0.77447855,0.6012513,0.3223731,0.7842336,0.7452429,0.26376203,0.402508,0.5361604,0.66241777,0.5840351,0.54882026,0.6908437,0.38841295,0.72494066,0.5515495,0.63328284,0.4536695,0.622532,0.66131103,0.4361325,0.51156753,0.19693017,0.64871347,0.5066692,0.8627712,0.79238164,0.36508328,0.4617554,0.23834324,0.5049778,0.53045,0.5139451,0.56902736,0.6019135,0.4090319,0.2703358,0.3468392,0.73103356,0.48185337,0.6465738,0.603124,0.81582487,0.7971439,0.6903149,0.77777594,0.55423987,0.612712,0.33354777,0.4700457,0.4658193,0.51537085,0.47042286,0.6950966,0.87133574,0.33198965,0.5256571,0.5279688,0.8199458,0.6956114,0.7495004,0.7112715,0.68124837,0.2848222,0.65287864,0.53546965,0.8444458,0.30125275,0.421197,0.65215904
AO-A1KR,0.85742193,0.40413848,0.6038553,0.33533534,0.7532204,0.43932283,0.3481394,0.8344693,0.41635197,0.7300602,0.20701078,0.88639283,0.3233359,0.6325139,0.15489139,0.36953998,0.8043706,0.96943545,0.26999158,0.36164242,0.8083837,0.11184913,0.32244802,0.5618553,0.8471147,0.8589724,0.21092291,0.085261956,0.0897399,0.26244062,0.81713307,0.37141737,0.25186855,0.18149485,0.6014692,0.43779135,0.5536472,0.34928867,0.79089904,0.7867259,0.31704825,0.66765696,0.5636294,0.18780902,0.59432817,0.70566165,0.23242861,0.7311104,0.24277206,0.92215335,0.38529217,0.7283134,0.37867045,0.30040875,0.34958264,0.7756565,0.44404775,0.121356376,0.42767036,0.807148,0.57580197,0.27774486,0.65194404,0.4637439,0.5722479,0.43021613,0.3980904,0.8181225,0.24922074,0.19184637,0.16389227,0.22283629,0.5790504,0.291788,0.897311,0.3909745,0.48727256,0.62354577,0.17280783,0.7588413,0.48542327,0.5677369,0.42394352,0.21882227,0.94202554,0.5100978,0.64543927,0.64951587,0.5377349,0.8956973,0.8919956,0.6847377,0.1616828,0.2245004,0.7002798,0.22470495,0.6211459,0.8606684,0.4716071,0.83879423
AR-A1AQ,0.84040093,0.5974841,0.61206603,0.7520072,0.63700056,0.44428277,0.6665604,0.74328005,0.83438087,0.7592951,0.35348773,0.87961066,0.4886781,0.3590186,0.31637704,0.5540886,0.8248621,0.71190155,0.3168642,0.32850376,0.860231,0.84105945,0.57944894,0.7658969,0.68010336,0.60388,0.26572755,0.2181002,0.2997965,0.26798698,0.70043665,0.19125603,0.39571196,0.54483175,0.57746696,0.27952662,0.43057865,0.6292009,0.73967856,0.50864774,0.5839982,0.564309,0.0962743,0.31292894,0.6729534,0.71371627,0.57054687,0.7205819,0.3463837,0.82014495,0.42841417,0.6195469,0.76429486,0.29936194,0.3276862,0.65853095,0.5177283,0.3760782,0.50719875,0.6274168,0.74287874,0.572489,0.36792836,0.50657773,0.43219763,0.6196408,0.6643866,0.6739656,0.29018682,0.3773002,0.3978386,0.2488053,0.60911536,0.5709342,0.7481871,0.4351039,0.81312525,0.45622766,0.30681401,0.81687635,0.6747477,0.4469103,0.7315343,0.34891662,0.6696766,0.5694673,0.34822083,0.7606453,0.23469007,0.7993257,0.6098848,0.44128755,0.351421,0.7148226,0.8051618,0.74381727,0.3356832,0.8077111,0.37965962,0.63972914
AR-A24Q,0.4667033,0.6378289,0.3133021,0.8228464,0.36518747,0.38221896,0.78687096,0.42691523,0.5949119,0.7580082,0.4999046,0.60818577,0.77708936,0.39954218,0.3138648,0.676218,0.75227606,0.31657556,0.4977028,0.37217644,0.58221537,0.49358296,0.699751,0.6160331,0.64101726,0.46207246,0.73776895,0.18011406,0.44695956,0.41961348,0.6055909,0.24342662,0.42189437,0.5349963,0.22944829,0.397838,0.47972128,0.8101319,0.26881146,0.47505867,0.58825445,0.37340343,0.5649621,0.44578937,0.73394036,0.6247977,0.9292356,0.6307174,0.45095122,0.34514144,0.71355164,0.59110993,0.76168776,0.35552663,0.40604973,0.64973986,0.54026735,0.37468913,0.17547888,0.33140373,0.82567513,0.64033085,0.2562448,0.45794344,0.48832807,0.6749419,0.76807004,0.58825207,0.35863078,0.38028532,0.5384752,0.5951313,0.54110205,0.28631794,0.6460128,0.67551565,0.76465476,0.49040234,0.37630972,0.6175203,0.7703911,0.78635156,0.6690458,0.42628157,0.811898,0.69369894,0.5569814,0.77435076,0.52510047,0.498742,0.61269516,0.22919321,0.80991656,0.5887602,0.80457306,0.8057717,0.3862242,0.38841966,0.44287872,0.72938275
AR-A24Z,0.59287447,0.2985515,0.41961873,0.73414505,0.87842715,0.7558639,0.2995755,0.8487321,0.71030045,0.46586794,0.33954436,0.6142521,0.37298465,0.35341972,0.43652698,0.33089998,0.27250034,0.31000617,0.5575206,0.5939875,0.2580061,0.7003192,0.350986,0.39649862,0.6232761,0.3519315,0.44532442,0.66344714,0.6851573,0.59055597,0.64556265,0.8571017,0.8887125,0.56982887,0.47029486,0.860991,0.60581666,0.57022125,0.21817285,0.44056714,0.5156038,0.8283601,0.5252371,0.72479665,0.4821551,0.6041105,0.8831013,0.3562192,0.32718933,0.22730447,0.58327913,0.30217728,0.5263562,0.52033687,0.7220784,0.262287,0.6775443,0.53857124,0.6002848,0.54060686,0.60447735,0.25522527,0.5205263,0.38126218,0.76889235,0.7223382,0.7335953,0.6285014,0.5806342,0.7520447,0.66869426,0.57844234,0.35271028,0.6283197,0.50948465,0.42641693,0.3360814,0.68038136,0.67848617,0.4025451,0.8098197,0.5799942,0.55626607,0.8540801,0.35030946,0.73411876,0.38600537,0.56492674,0.86804867,0.46889842,0.2823171,0.45155752,0.4012987,0.69067544,0.62079823,0.27307448,0.37709582,0.41664746,0.68244535,0.37498194
