Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A2-A0CM,0.59099674,0.85377425,0.6317131,0.64027804,0.28660333,0.6671816,0.6830022,0.4867225,0.91125566,0.66639733,0.48279858,0.94093466,0.605924,0.13094981,0.30364993,0.5977101,0.87642145,0.5778991,0.13779688,0.15927358,0.5909173,0.744334,0.4411399,0.9039755,0.7548426,0.2781517,0.360219,0.09392728,0.4524917,0.526476,0.6121103,0.27874488,0.4804177,0.32346675,0.461457,0.34792507,0.48949885,0.53927237,0.5049125,0.3529164,0.4795463,0.7320092,0.21055149,0.1748864,0.7038203,0.58447194,0.8526125,0.6736334,0.47596687,0.62673014,0.555971,0.6748297,0.67831796,0.1400793,0.11589079,0.842618,0.3941525,0.4858094,0.2518279,0.7211679,0.74504125,0.63876647,0.20053017,0.5900317,0.2908138,0.46283168,0.7333629,0.790614,0.47548282,0.26534295,0.33394927,0.19221121,0.7487488,0.46287054,0.8391052,0.3488813,0.70090985,0.16464965,0.114577845,0.8253954,0.8451487,0.44604415,0.813508,0.4247637,0.67084056,0.5654875,0.496163,0.6241471,0.27369112,0.8466631,0.5772719,0.18073133,0.53326416,0.8641499,0.8354284,0.85499555,0.30349004,0.88576907,0.2384216,0.4951985
A2-A0CP,0.45972213,0.8229257,0.8457074,0.39251488,0.30878627,0.57213426,0.61194575,0.2628473,0.10359223,0.24026185,0.8984766,0.34055924,0.7179793,0.8764243,0.6598698,0.37821487,0.85035986,0.6152915,0.57030725,0.51753485,0.91294557,0.48800874,0.5882431,0.7713537,0.45010078,0.74915886,0.8469547,0.67493975,0.42341834,0.55941874,0.11986736,0.41386488,0.10961639,0.26366407,0.7588161,0.25610825,0.84317946,0.6173919,0.7756234,0.7288868,0.39909697,0.6505619,0.7172872,0.76574373,0.38658857,0.44614503,0.12939256,0.51257473,0.63729554,0.5381968,0.6869568,0.73237294,0.30818003,0.6414553,0.45163247,0.7410712,0.20390216,0.50843436,0.50254864,0.60873485,0.46841466,0.70917517,0.70540357,0.39477062,0.453026,0.07414101,0.49574232,0.44689143,0.61401534,0.18439291,0.6859541,0.3646673,0.5462663,0.18605776,0.40989766,0.34689543,0.42508727,0.7922159,0.55872905,0.7912524,0.108224,0.5389584,0.56252754,0.2650959,0.47871,0.20062347,0.7749296,0.48870763,0.5170156,0.7340316,0.52039725,0.39131767,0.6614107,0.15981568,0.29941875,0.14649619,0.84325004,0.58455604,0.7073459,0.36432984
A2-A0CS,0.73223245,0.21223086,0.8876644,0.5678542,0.78742707,0.53541946,0.27151003,0.5589731,0.38597706,0.18492809,0.76121765,0.5066486,0.36924967,0.8774054,0.5078194,0.42706525,0.75671697,0.6622214,0.6487993,0.6129882,0.9093232,0.75877774,0.627158,0.2544527,0.43562996,0.57745206,0.59128034,0.48607054,0.11296295,0.62411314,0.13718489,0.4457746,0.35537463,0.30913955,0.87151223,0.54215914,0.8361615,0.51667565,0.57479763,0.688803,0.67897475,0.58000517,0.3758505,0.8816032,0.57837486,0.40519917,0.22535294,0.41781193,0.69720995,0.71884555,0.53808266,0.4703046,0.5504397,0.91067386,0.42071152,0.5073638,0.7652605,0.20306474,0.80650544,0.700457,0.65684795,0.25068808,0.68290424,0.40298042,0.8456374,0.12391223,0.16963372,0.21006157,0.7275414,0.20158844,0.719379,0.54482144,0.453299,0.5295899,0.6291784,0.56393236,0.617974,0.714579,0.4915942,0.82872427,0.22146457,0.58756745,0.40992132,0.5509602,0.14091365,0.44802755,0.4748637,0.19828057,0.6451315,0.7412974,0.40373078,0.57467693,0.6528952,0.23859523,0.21097982,0.21647581,0.7565088,0.67700857,0.830792,0.15755773
A2-A0CX,0.6256767,0.24989268,0.35108864,0.24411008,0.7726526,0.4394834,0.28097397,0.4215366,0.1676367,0.35400856,0.18995455,0.3312273,0.6526946,0.85354054,0.5968243,0.71765995,0.6603292,0.897707,0.33928522,0.3383114,0.42263004,0.53636795,0.6662086,0.5663483,0.7104362,0.87417793,0.3467213,0.3039413,0.16112211,0.2353391,0.3627408,0.6801866,0.48727846,0.17731564,0.49373472,0.37093025,0.3575574,0.3107653,0.753428,0.4303937,0.81722474,0.6718917,0.61530507,0.53871524,0.8933798,0.29053172,0.4551916,0.6200402,0.5768243,0.70155644,0.620856,0.86042976,0.28881204,0.574443,0.7238064,0.9005972,0.88275284,0.28869334,0.42413032,0.25549257,0.73479027,0.48745877,0.26016566,0.7041469,0.55195045,0.5206287,0.15610772,0.37630278,0.4622918,0.48889977,0.5186616,0.38202953,0.8311168,0.8382108,0.3934043,0.77070355,0.784577,0.57706845,0.15518168,0.43806368,0.36795717,0.62981635,0.6391645,0.75261563,0.8544952,0.34554064,0.36246777,0.4031568,0.75777674,0.53562194,0.84911096,0.59126735,0.3489286,0.28122562,0.5720084,0.37035176,0.7795379,0.5001923,0.53020734,0.5561935
A2-A0D0,0.8948585,0.4420389,0.47032458,0.57254034,0.72343785,0.7615695,0.6077751,0.77179533,0.5496469,0.8351493,0.48482767,0.85764253,0.6346697,0.409927,0.10959435,0.078259155,0.7952983,0.7026335,0.18373758,0.12047068,0.95222473,0.17144343,0.45633045,0.87750924,0.8860924,0.66882473,0.19775891,0.08335207,0.16927561,0.2712109,0.83747804,0.15771425,0.13862178,0.2820043,0.740165,0.12088384,0.7144704,0.49281842,0.81914127,0.7993541,0.09880386,0.77313954,0.36919504,0.24013397,0.92057955,0.8022082,0.48331958,0.5185497,0.057433553,0.7309252,0.5373564,0.45162427,0.37487587,0.18633544,0.26999673,0.93655986,0.10111375,0.5588894,0.19190899,0.93547416,0.7651769,0.1441583,0.8278933,0.13207309,0.37754604,0.3614114,0.82254076,0.8573875,0.17667057,0.22330782,0.15071848,0.15339965,0.5689545,0.10425338,0.9051278,0.55196893,0.15792602,0.4757938,0.21072751,0.88763237,0.6877758,0.6207158,0.7275486,0.16741657,0.89941096,0.39110246,0.08707622,0.7645025,0.21795395,0.9209451,0.930509,0.48900497,0.21415073,0.5841294,0.7825935,0.36366725,0.72255015,0.84942174,0.26891026,0.8145917
A2-A0D2,0.7783624,0.8722801,0.42420647,0.75103384,0.4107731,0.20059465,0.71495783,0.520632,0.62202626,0.726714,0.48540795,0.7869778,0.8310479,0.38103482,0.15659398,0.3246842,0.89096594,0.62643456,0.63012326,0.2136067,0.7487184,0.35306507,0.627776,0.55871207,0.81721115,0.6208594,0.25082034,0.23309198,0.32117903,0.3374805,0.7920451,0.20540778,0.19010402,0.3034162,0.3752965,0.13656889,0.28849357,0.78758425,0.6017534,0.57185507,0.24175477,0.57308286,0.55166155,0.4136811,0.74003965,0.73399854,0.7771059,0.67673475,0.23435096,0.5239037,0.32153136,0.48953062,0.2911241,0.2914927,0.16945955,0.85057735,0.43196243,0.53005636,0.13609007,0.60283786,0.80876696,0.60970306,0.16546075,0.12964866,0.5955562,0.62617725,0.75863194,0.52640826,0.22537632,0.18357083,0.5850884,0.1790958,0.80525297,0.2108804,0.8436035,0.3909533,0.53154135,0.76272386,0.20518367,0.83376974,0.7862044,0.58802164,0.75169444,0.17593825,0.89506173,0.45668417,0.24372709,0.8199005,0.22853072,0.9320725,0.75387245,0.14615375,0.61451995,0.5833232,0.87897927,0.47180843,0.7051964,0.5619629,0.56826514,0.7279825
A2-A0D3,0.8169351,0.22920382,0.58627,0.45166332,0.4270287,0.5152989,0.32590935,0.6605349,0.8555397,0.64596784,0.6547033,0.19878283,0.44910306,0.5934814,0.39365906,0.47800964,0.3080138,0.716927,0.6485095,0.74661547,0.40065613,0.82383287,0.5941234,0.3487247,0.41613472,0.6169574,0.4675702,0.7259906,0.23278332,0.8787314,0.3923011,0.48849177,0.47669172,0.6353735,0.5942328,0.5020613,0.8476892,0.3466797,0.86852527,0.36766505,0.41915244,0.7958983,0.6482332,0.4404179,0.23519336,0.2643595,0.10695347,0.7162211,0.8530254,0.74899566,0.28931424,0.5688634,0.5559628,0.69949543,0.365812,0.16308662,0.8645092,0.42777297,0.7965785,0.7405266,0.35774028,0.7720871,0.6805407,0.30922735,0.8687327,0.49573833,0.3353039,0.6368245,0.7048551,0.7938958,0.25372976,0.5409878,0.21167096,0.71352506,0.4481185,0.48153874,0.6340358,0.4403187,0.6788069,0.7478336,0.3576067,0.6660286,0.40969774,0.70924175,0.27651477,0.5447589,0.525196,0.32603964,0.24762216,0.15012798,0.61260474,0.73797107,0.25613254,0.6993159,0.19962466,0.3880632,0.16912763,0.8736755,0.756343,0.16846272
A2-A0EO,0.15936756,0.5740515,0.85483205,0.1705638,0.4639182,0.30403656,0.6327827,0.2912604,0.33371425,0.67882454,0.794107,0.5986204,0.7061566,0.8361886,0.5385145,0.7358709,0.77605444,0.6673764,0.5899074,0.42551765,0.8008795,0.58735096,0.7113519,0.43736055,0.22731867,0.5108218,0.7907916,0.42306662,0.36613816,0.8556566,0.35681528,0.5310908,0.45788002,0.6154015,0.57077295,0.4442287,0.66611505,0.51627845,0.5124258,0.22459216,0.8242716,0.71343887,0.8250434,0.8872231,0.3435958,0.16565263,0.19273674,0.4484466,0.7345846,0.49541128,0.7157997,0.74003214,0.7373376,0.72293574,0.70403147,0.77852917,0.65336084,0.5170673,0.41586766,0.3471148,0.5546829,0.5884065,0.41906235,0.69764924,0.4557849,0.54339325,0.21673872,0.40505508,0.6466382,0.25117463,0.49418187,0.5540761,0.62758225,0.28184047,0.32329798,0.47905022,0.4238258,0.82372797,0.6235282,0.48424202,0.16375154,0.7985723,0.33674154,0.52538794,0.49953043,0.3849271,0.73596007,0.3058461,0.59728354,0.45833403,0.48132643,0.35379058,0.5250722,0.28111896,0.34431452,0.24554804,0.47440857,0.50638044,0.66082764,0.47339272
A2-A0ES,0.16163099,0.78602785,0.71459675,0.42702746,0.3179638,0.40897673,0.83684653,0.6190364,0.41398293,0.28271767,0.57971215,0.675011,0.8116438,0.92358387,0.7185198,0.60892,0.49685985,0.4428519,0.6334473,0.26051378,0.76996094,0.5994238,0.64671624,0.5396778,0.3651517,0.28012836,0.87050605,0.8569013,0.7226552,0.62367535,0.48886576,0.54371834,0.4046786,0.90972334,0.35639846,0.54967153,0.4474615,0.57587874,0.49001497,0.13019486,0.47679657,0.5050717,0.82328707,0.7239356,0.12369345,0.19406018,0.27887362,0.523234,0.7520428,0.3183093,0.33762455,0.30098897,0.6729367,0.516836,0.80593705,0.4367997,0.22765931,0.80267096,0.5358599,0.49405295,0.29381242,0.828404,0.5520652,0.5889205,0.6177428,0.6606081,0.5901283,0.28109133,0.30493927,0.8281583,0.76499236,0.35872146,0.44819424,0.12500662,0.39166886,0.6482033,0.47533673,0.8395637,0.76136214,0.5598908,0.19833127,0.6527545,0.40661764,0.6258094,0.7627175,0.6168945,0.8205271,0.6932688,0.36122617,0.20681612,0.61997163,0.20157817,0.582585,0.4766212,0.25744426,0.42080536,0.17455128,0.39789814,0.46958518,0.7042438
A2-A0EU,0.68885785,0.46456364,0.7222004,0.6274432,0.19484939,0.85242856,0.6010778,0.31838277,0.6897231,0.54800886,0.8911562,0.36083418,0.5043226,0.5463724,0.65130377,0.6746049,0.64073783,0.46424186,0.6139684,0.761759,0.36281967,0.5134954,0.60997176,0.5976606,0.34877315,0.53746384,0.7297331,0.86537117,0.7931802,0.5800722,0.31002116,0.87274796,0.69178146,0.47502252,0.49484527,0.8960024,0.7396546,0.6617358,0.13488306,0.7687534,0.22122747,0.40849805,0.89918196,0.6200967,0.40610898,0.8774736,0.5779556,0.47462904,0.48684254,0.16915828,0.79848135,0.7409971,0.4365307,0.5660224,0.686338,0.67659235,0.2302075,0.77808607,0.53153026,0.8326405,0.4495653,0.58669364,0.8124286,0.67593277,0.29405707,0.21175298,0.88050735,0.6605034,0.65954334,0.67948747,0.40746891,0.69053787,0.23665664,0.4008228,0.37496418,0.24945232,0.13554378,0.5974169,0.79788923,0.45671153,0.4460049,0.26967502,0.39291158,0.52006286,0.34262246,0.32619548,0.30168357,0.31534082,0.68044794,0.59005255,0.69462824,0.42701554,0.6732459,0.72150177,0.35878417,0.19510531,0.8489008,0.1274278,0.64170575,0.61891466
