,A1-A0SF,A1-A0SJ,A1-A0SK,A1-A0SO,A1-A0SQ,A2-A04N,A2-A04P,A2-A04Q,A2-A04T,A2-A04W,A2-A0CM,A2-A0CP,A2-A0CS,A2-A0CX,A2-A0D0,A2-A0D2,A2-A0D3,A2-A0EO,A2-A0ES,A2-A0EU,A2-A0EV,A2-A0EW,A2-A0EX,A2-A0ST,A2-A0SX,A2-A0T0,A2-A0T1,A2-A0T2,A2-A0T3,A2-A0T5,A2-A0T6,A2-A0T7,A2-A0YC,A2-A0YD,A2-A0YE,A2-A0YF,A2-A0YI,A2-A0YJ,A2-A0YL,A2-A0YM,A2-A0YT,A2-A1FV,A2-A1FW,A2-A1FX,A2-A1FZ,A2-A1G0,A2-A1G1,A2-A1G4,A2-A259,A2-A25B,A2-A25C,A2-A25D,A2-A25E,A2-A25F,A2-A3KC,A2-A3KD,A7-A0CD,A7-A0CE,A7-A0CG,A7-A0CH,A7-A0D9,A7-A0DA,A7-A0DB,A7-A0DC,A7-A13D,A7-A13E,A7-A26E,A7-A26G
A2-A0CM,0.012378256796817835,0.011299697399166213,0.015852238418150737,0.01709985499099833,0.011432787319296204,0.011823404666476143,0.0176046629439002,0.01462656940322972,0.018772230898984624,0.0145793785283121,0.5795279165437531,0.011910260381963307,0.011967724725565523,0.014947566596337423,0.01700328455762539,0.017770469546883178,0.012037316053744683,0.011772745683938117,0.011507556230069962,0.011598946999311386,0.011448008440189256,0.011232516459954326,0.01148780007883991,0.015309302749304445,0.018707951524762217,0.018345985271915076,0.015002878590824765,0.017896033371247448,0.011967671800948761,0.01182533819073326,0.011450505466835232,0.012327250233087401,0.011643477286046772,0.011755618334589657,0.01739663643975252,0.012179095143185681,0.011927400464074058,0.01806308557770087,0.011270065623022327,0.019095897716756474,0.011670524291879147,0.0116375565469677,0.011858192161269196,0.012059744199416798,0.012238054425462644,0.011310798362539683,0.014732092522527144,0.011261333816746003,0.011480665933629536,0.013479891013086033,0.01172398993723291,0.012583995236496254,0.012489069897763569,0.015023287168541486,0.011271404132790945,0.011614429099102668,0.01150137271490592,0.018014241015998522,0.011610999480563988,0.011630169338499027,0.01142765962162796,0.0179662843339152,0.01160525724919098,0.011243997041882274,0.01687585391929503,0.017877400904334886,0.011701190676327303,0.014209156178532332
A2-A0CP,0.015707001155733022,0.014865800273350875,0.011304206592342332,0.01151041093445232,0.014292286091841976,0.017966208555355054,0.012623206794814476,0.014168450875667366,0.011552758005151412,0.015050828636459212,0.011910260381963307,0.5643632834590828,0.016736237196301466,0.013760124587671192,0.011946825930700612,0.012419874222643634,0.01568694142542945,0.016684883123622714,0.01640908119665395,0.01593020622240892,0.014514350113828825,0.015121326452197423,0.016744657499720397,0.014037488881639323,0.012136131759740192,0.012025542272689376,0.01403318161015894,0.01264338963343466,0.01399308767196822,0.01628984331857533,0.015856591883788938,0.01480960063040693,0.014568392973262023,0.016136856089488137,0.011996648035709018,0.01373316356122267,0.014116026606679433,0.01171504705856221,0.014943812789023975,0.011537302875199516,0.013580120755829162,0.014343252567048052,0.013169085120670707,0.014004197910656062,0.014799682103629797,0.014747944095888806,0.013034287216215919,0.013873808401292542,0.014741465009503515,0.013322087067780437,0.014317940558536083,0.014821390731268027,0.01418120565176034,0.014533594718493987,0.015873965430630972,0.016081082211045834,0.015714154714436858,0.011591790719604849,0.014586142741601582,0.015733875388401163,0.014321175308534408,0.012263109599013219,0.016163406287465064,0.01390217775869641,0.012196377819072908,0.011710321711235386,0.01590096806832754,0.013045760844782546
A2-A0CS,0.016173835997481747,0.014344123670566393,0.01121770774495031,0.011644812554405649,0.015324720194030809,0.016883209100424748,0.012136337302791032,0.01379533307105572,0.01151096764993571,0.01404348440947284,0.011967724725565523,0.016736237196301466,0.5641912266724047,0.014393811570342585,0.011584197954571003,0.01179794485497146,0.017050919317923883,0.01749372500811655,0.015539076018346618,0.015927254719084443,0.015025114631420153,0.014600521417346315,0.015527070628665467,0.013895735122702932,0.012111155500160852,0.01246390694420106,0.014006728467021655,0.01263116554192702,0.01376977873945464,0.017118420656365062,0.015721687229794445,0.014178851349076505,0.014829838661722626,0.017076838786178314,0.012365063808587907,0.014193920404015233,0.014249203909122803,0.011746477394148313,0.014763945097217318,0.011541348161121626,0.013422538645780172,0.013961587905964853,0.013244643454165593,0.014067881194140396,0.01478391667418467,0.015409430137405878,0.012872127960202914,0.014385972858354149,0.01438358693489505,0.013783763113367178,0.013888400750437152,0.01412693734964249,0.013653522273183664,0.01475358665131856,0.015515147575567451,0.015821750522276697,0.016981253147288707,0.011694954151236368,0.014637538110298349,0.017533608363350068,0.013736370973432246,0.012548416948178768,0.016945012957407933,0.014051115475025593,0.011883073366297427,0.01181086922953321,0.015604003068600538,0.012909481413762565
A2-A0CX,0.014496244886219721,0.012793583403947706,0.01323669938487549,0.015021693658167704,0.012904403746467731,0.013304386530195885,0.015183864873326416,0.013684507090321468,0.014874306746950547,0.016890568610077518,0.014947566596337423,0.013760124587671192,0.014393811570342585,0.5769916923594723,0.01458083202616693,0.014057894378399008,0.013757414335693927,0.014167116736666825,0.012825790301479668,0.012825530042815208,0.013586645590199647,0.012431059829016676,0.013761952459568787,0.013404578748894955,0.013533025155489478,0.01655673386003291,0.018244722062458356,0.015821296242785284,0.012587454630189147,0.014247202538835048,0.012789210041701063,0.013748142614328648,0.012506813620913645,0.01319208382607899,0.015363244040851636,0.012529105683203982,0.012923254027482347,0.015940551563279573,0.01259114702560377,0.014044659009571064,0.013404734103655693,0.012341983219967843,0.01287842773160851,0.01267367925232334,0.012604450725629768,0.012947396246947915,0.013486732404273574,0.012689513828846989,0.01246669427366209,0.015386082265285098,0.0125996785587605,0.015322316886995788,0.012883113429553344,0.013976222912674236,0.012674414874044023,0.012971341824555617,0.01310358148359828,0.015038931877452175,0.012642924867764225,0.01352451989184817,0.01306346543450286,0.015436131457772825,0.013080492609887948,0.01237905747191419,0.014360273794390841,0.013914118315886896,0.01280942035493815,0.013047967551065763
A2-A0D0,0.011426741156831247,0.01168189558632227,0.017435437488889094,0.01757256280851333,0.011222635410322025,0.01157047867290267,0.0182449565201939,0.014294920201618676,0.019271873491277357,0.015803448457249205,0.01700328455762539,0.011946825930700612,0.011584197954571003,0.01458083202616693,0.5910524852419837,0.020308810536148126,0.01139010499994638,0.01136120057199394,0.011249680049394604,0.011303576392482346,0.011115164349215462,0.010908566408726353,0.011301623613725973,0.01606253861815135,0.015433058701724298,0.017722168884662853,0.014233576236785738,0.017864111611925287,0.01171240875144638,0.01144157840219117,0.011086687935787536,0.011563840148969308,0.011474075719202,0.011218118925701147,0.017143342929315193,0.011684313040428933,0.011256344391076957,0.017628164678720817,0.010943713030434062,0.017749710631703604,0.01225070807226061,0.01111173454445152,0.011894239287942157,0.01154896546799044,0.011346897074361886,0.010929216814702217,0.014173877463436482,0.010944355274911678,0.011238490483584258,0.012421884313578272,0.01146594964007736,0.013965823936518434,0.012334967741845539,0.013194677215036577,0.010937864320059608,0.011360657123911932,0.01116686885677555,0.018215013947963023,0.011162442638567957,0.011180208515216297,0.01129293288893458,0.016462972432836447,0.011227077901034128,0.011035940870461102,0.017538781130541196,0.015532485725950129,0.011359810624216565,0.013732185029142148
A2-A0D2,0.011636383294656404,0.011371312708791707,0.017484947601615314,0.017051650253671294,0.011281662795475402,0.012153462556383294,0.017004473230353236,0.01515942283521571,0.019436047356792968,0.015406773550465533,0.017770469546883178,0.012419874222643634,0.01179794485497146,0.014057894378399008,0.020308810536148126,0.5825647246894441,0.011637966605295766,0.011591810110395454,0.011630254316135088,0.01153215485239184,0.011306869089757168,0.011144133401289634,0.011540208834642456,0.015611525445406978,0.017223236024209127,0.017475162939400855,0.014549461828608046,0.017256914258316984,0.012406793808927404,0.01159064375323461,0.011373163970905216,0.011710011539521498,0.01174049018458121,0.011505404911500707,0.017340546255691393,0.011828744164931994,0.011802229179840217,0.017803240044767334,0.011215707602907897,0.017634156051721157,0.012296232631145085,0.011094659457229846,0.011451555483944971,0.01144799155641756,0.011819637821327236,0.011081514681279265,0.014652349998544416,0.011021079730625539,0.011639605303866906,0.012361337568547178,0.011783224033719501,0.012771045445978516,0.011765923113696952,0.014330362980703178,0.011190501665795442,0.01180535086602321,0.011371892646190594,0.01777782402535732,0.011362928552944112,0.01143626461781668,0.011557444047041149,0.017286182291379362,0.011497304279951773,0.011048424856656636,0.019106232675639254,0.015933502659740233,0.011668275588041021,0.015261762027486608
A2-A0D3,0.016380355064004957,0.014483114408979259,0.011168671200420687,0.01159069233725648,0.01532507510315289,0.016394957239080073,0.01189494914237969,0.013656946959040243,0.01138859665412663,0.013253004151776732,0.012037316053744683,0.01568694142542945,0.017050919317923883,0.013757414335693927,0.01139010499994638,0.011637966605295766,0.5636686837172329,0.016706809919482625,0.015576860773432406,0.015804347748429082,0.014796260138041507,0.014667080195546788,0.015099239958422788,0.013815750843288038,0.01216666836899585,0.012103481086941786,0.013562893252569656,0.012193890753899927,0.014025274094892922,0.018474902358785718,0.01575093894171227,0.0140870697116225,0.015174023157299665,0.016816569396831488,0.011852955376584328,0.014403069014054415,0.014418359528175863,0.011599962883606494,0.015008533093157892,0.011462125663303228,0.01390067540401296,0.01415599921684038,0.013515086264372155,0.014361281620535488,0.015022131391056095,0.01602110503693156,0.012847263521396344,0.015135520810551204,0.014674895088450704,0.014193620137193188,0.014392001761078091,0.013612688015659923,0.014144281542206219,0.014736409795513508,0.015531730623106354,0.016434713566843687,0.01710874832646859,0.011529333422195906,0.014671326004987079,0.018048426175664174,0.013859240790960708,0.012212158263884684,0.01681809748582283,0.014432180953961586,0.011729766736764792,0.011731530730962718,0.01571539589871529,0.013092176657658636
A2-A0EO,0.016350196789880946,0.015360459747096312,0.011081823324927822,0.011446578635608193,0.01515430321911943,0.01675711984947427,0.011800772340542056,0.01368329170901671,0.011297400711101106,0.013553671719399248,0.011772745683938117,0.016684883123622714,0.01749372500811655,0.014167116736666825,0.01136120057199394,0.011591810110395454,0.016706809919482625,0.562656750471739,0.016346129072443868,0.015657512979458516,0.015261195291172949,0.015089840719370654,0.016608139594866744,0.013817609906358705,0.01202182217660617,0.012200406231073239,0.013977216723244361,0.011995691318244696,0.013820529643023678,0.017116508572589888,0.01635201374724444,0.014660045116362486,0.014577200375048033,0.016994987499379388,0.011916681271577271,0.01383782184214802,0.014601554425597345,0.011552653215491282,0.015492213758592678,0.011364098844117366,0.013528205627992614,0.0141382752031428,0.013401454364640599,0.01415454609213828,0.015251613455626778,0.01615900704614001,0.012842201960938774,0.014433568036379168,0.014979750389197077,0.0139067984694422,0.013981514013293608,0.014222370364752775,0.013703189493683635,0.014749722057326078,0.01574086290843265,0.016215169026395446,0.01688498565298341,0.011500030185622297,0.015337370983867107,0.017069644488837132,0.013886304745131854,0.01238382821813149,0.016758762668957178,0.01414681706263507,0.011674565784856785,0.011638181251413401,0.01572080416113584,0.013153257224735013
A2-A0ES,0.015174135068311157,0.015274043730878217,0.011019346610290841,0.011134904101326254,0.014474094652130488,0.016193388083924145,0.011419409429490789,0.014158021516699381,0.011087246598421127,0.013327542732201877,0.011507556230069962,0.01640908119665395,0.015539076018346618,0.012825790301479668,0.011249680049394604,0.011630254316135088,0.015576860773432406,0.016346129072443868,0.5637561453052385,0.016308785986730363,0.014700049571772008,0.016945670687306374,0.016784433504280265,0.013804511930669125,0.011904392865421764,0.011398103700964664,0.012829708526575802,0.011559602381152195,0.01513279939010747,0.015674044479515835,0.016512195597399856,0.01481575536584135,0.015552843999835149,0.016338357592653046,0.011487579901892551,0.014738891995396713,0.015217439928052662,0.011224932246767051,0.016292851106372026,0.011205062035406249,0.01379175776324098,0.015139383764751296,0.013401205851706871,0.014146588064571933,0.01596354644127933,0.015772427325240507,0.013350011313624371,0.014189372991558286,0.015633851978602523,0.013370473613631115,0.014829302932162298,0.013775205700469834,0.014405994431891736,0.014581105788779546,0.01629060085312118,0.016676982024710255,0.015746587319766265,0.011097584552477096,0.01567238787383745,0.01575376921786166,0.015069337972125174,0.011662059445939597,0.01631678991802417,0.014259371889594367,0.011805018661737823,0.011456489319955982,0.016998624298989608,0.01324429973587924
A2-A0EU,0.014728009534629397,0.01494237115403678,0.01113086656396575,0.011287208255663142,0.014624230569134134,0.016600202176450553,0.011458118922243566,0.014347826838570214,0.011171366269918563,0.012956675763364008,0.011598946999311386,0.01593020622240892,0.015927254719084443,0.012825530042815208,0.011303576392482346,0.01153215485239184,0.015804347748429082,0.015657512979458516,0.016308785986730363,0.5659043183371468,0.01492546547414199,0.01582951282300705,0.015527969303549227,0.014144418054981579,0.011920049251175659,0.01145747330602014,0.012778632148075725,0.01161771832281436,0.015868893560207407,0.01564862214945529,0.0158929701670655,0.014356476664874312,0.01577722525259045,0.015725209567005342,0.011496047664837156,0.015424323787105183,0.014444956369848815,0.011288894347233992,0.014993979944794181,0.011306109296934402,0.014650921042068818,0.014545138375225603,0.013783099714807732,0.014960024797657697,0.015406114725059119,0.01477747459260464,0.013834114753771765,0.014894246301561272,0.016357449737957913,0.013977391469074611,0.014282247521947546,0.01366325557602574,0.015163554937792287,0.01449089418031168,0.015121924517959082,0.015587973812501661,0.016402223728105174,0.011178711266436927,0.015009501603227761,0.01587903704437562,0.01616880195470966,0.01170365480675132,0.015771736664584927,0.014373118609869074,0.011669064425668379,0.011556108612901295,0.016240324347039592,0.012956035189364456
