Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A2-A0CM,0.5920686,0.82538664,0.5961567,0.69373214,0.32486692,0.57364786,0.71866,0.4459567,0.83304465,0.686934,0.49184632,0.95032203,0.6034698,0.2518993,0.3200979,0.6332448,0.86175585,0.54274774,0.35139376,0.30309808,0.6985401,0.56048965,0.34118676,0.9040513,0.77572644,0.48592287,0.3406186,0.13861094,0.5061322,0.40813774,0.71869636,0.25040823,0.32229456,0.4280873,0.47862983,0.30116808,0.4211194,0.62393373,0.59506243,0.49439436,0.4963501,0.5785631,0.2494988,0.19214933,0.74269116,0.7039882,0.78753185,0.702619,0.49460799,0.72823644,0.45498693,0.66138846,0.60706735,0.16437766,0.164682,0.7749777,0.45880455,0.5184985,0.31836256,0.744991,0.8002976,0.57539254,0.32780507,0.6066072,0.32033268,0.65476125,0.72994053,0.78062385,0.33388692,0.28913212,0.26988614,0.30981487,0.6815245,0.472598,0.7489325,0.39003444,0.6550349,0.23117238,0.24606143,0.8217993,0.6959791,0.5354848,0.783445,0.260686,0.76690817,0.54440707,0.5214323,0.6130246,0.21110943,0.78505516,0.6802546,0.3656131,0.49171764,0.83601797,0.8384633,0.8182036,0.35854,0.7713537,0.27294153,0.68555796
A2-A0CP,0.46034783,0.744681,0.75956976,0.42665678,0.29823416,0.6301715,0.55858064,0.28749523,0.16976315,0.30539244,0.88408554,0.4278122,0.63586795,0.8355896,0.6302171,0.43883842,0.7894902,0.63151544,0.6399875,0.5579549,0.84965324,0.3680373,0.5465052,0.7038294,0.5135465,0.70961404,0.81635064,0.69622904,0.5113143,0.6870028,0.16547713,0.3991893,0.17716205,0.36684602,0.6565818,0.52545774,0.7767862,0.4783689,0.55473053,0.71030915,0.40718418,0.50540036,0.77814126,0.6923671,0.35661912,0.5279895,0.18540157,0.5383356,0.5926926,0.55834866,0.6225709,0.70399415,0.5538381,0.6004017,0.46680993,0.7103206,0.22701393,0.5400773,0.46123743,0.591779,0.4304713,0.7402605,0.7387126,0.59740496,0.501693,0.15100786,0.5979308,0.39043066,0.5466705,0.22635144,0.6396468,0.47155964,0.5997012,0.34104073,0.49422687,0.3864547,0.48770428,0.733931,0.6500597,0.71499026,0.13986775,0.57816225,0.48531178,0.3409116,0.6077041,0.22769079,0.7787213,0.60746914,0.513414,0.5794376,0.612934,0.47749233,0.67755604,0.19137213,0.37846792,0.18671405,0.8265468,0.5031549,0.7564381,0.46959263
A2-A0CS,0.6801151,0.28376228,0.8403013,0.5272287,0.752578,0.5585352,0.2912871,0.68624103,0.38787353,0.25368726,0.7546352,0.6128635,0.4183959,0.7901475,0.54844856,0.33641458,0.59008735,0.70830256,0.6501224,0.5734303,0.8677474,0.6010735,0.6620374,0.2717315,0.5470701,0.50724936,0.7222014,0.5354175,0.20494394,0.71642745,0.18220586,0.52695185,0.33358616,0.3163592,0.83359915,0.555079,0.7947516,0.60673064,0.6025126,0.6685064,0.61495405,0.59514296,0.33281046,0.6937791,0.59205574,0.4277459,0.25035933,0.52240443,0.58504486,0.74709946,0.58230484,0.45918253,0.6691436,0.8482243,0.47048312,0.6020014,0.70229065,0.21250525,0.6638095,0.6574495,0.5167705,0.42451024,0.6492608,0.4933853,0.8424104,0.20931473,0.23120975,0.302949,0.71480346,0.27956235,0.69156283,0.42210478,0.5501318,0.55072105,0.55974215,0.4960389,0.43235815,0.7562587,0.55266494,0.7807538,0.36233148,0.61811346,0.37894255,0.6141825,0.30407476,0.53522134,0.53764427,0.3414072,0.70251256,0.70927405,0.4183651,0.5710335,0.54005194,0.1797971,0.2713865,0.28143555,0.711114,0.61433834,0.8134055,0.1790565
A2-A0CX,0.6158687,0.36180884,0.31492603,0.40031338,0.7119906,0.4169721,0.27748665,0.4343965,0.20512709,0.3579936,0.24627045,0.5115554,0.5966385,0.7949109,0.5963727,0.7216337,0.5917758,0.8794236,0.38872698,0.3425866,0.48490357,0.4789412,0.67492396,0.5602801,0.7883473,0.8167104,0.40203452,0.30332947,0.21241035,0.3396885,0.4679999,0.6911969,0.43643796,0.1914159,0.5085793,0.494071,0.4011432,0.3758022,0.7603065,0.41374743,0.76726675,0.6159395,0.67299706,0.38831127,0.83754295,0.33410588,0.55649424,0.5863094,0.6429989,0.6353495,0.47919607,0.796816,0.29552785,0.49967587,0.6082883,0.86445653,0.8182124,0.32647818,0.44609162,0.31863284,0.74426174,0.5207822,0.26614594,0.61361706,0.55108607,0.48613012,0.16062306,0.4553046,0.39232594,0.49054572,0.57468224,0.38316852,0.7665547,0.7188012,0.45190787,0.72082347,0.8167544,0.6066201,0.18062147,0.55480033,0.4627629,0.6196356,0.64548194,0.57942957,0.8565502,0.3981114,0.43612367,0.6713495,0.74651706,0.6079626,0.84652233,0.5407392,0.40092248,0.32126617,0.6112488,0.4388673,0.7427701,0.4013102,0.44177687,0.5489855
A2-A0D0,0.8847244,0.61023545,0.54852855,0.7764801,0.642925,0.688944,0.4526402,0.83593094,0.70447254,0.72398514,0.39217395,0.83603966,0.59231424,0.48670965,0.2367653,0.22175054,0.7290279,0.71787864,0.31995088,0.2450333,0.89087176,0.21475145,0.528811,0.87650347,0.91578007,0.64273894,0.23592433,0.19482397,0.21627353,0.30838066,0.8514945,0.3157328,0.14368829,0.24029808,0.5120528,0.37289202,0.5798444,0.37590647,0.77727187,0.7961578,0.16361824,0.69864523,0.5508278,0.20301008,0.8866077,0.8238114,0.5220844,0.64193845,0.0828597,0.75625664,0.5095028,0.5111154,0.3979016,0.23680899,0.25975507,0.86043584,0.26935428,0.34505615,0.32508287,0.93547386,0.81180674,0.290149,0.65460575,0.29011,0.55799603,0.4969562,0.61411583,0.86598873,0.15623248,0.24130368,0.2045787,0.17931417,0.7417524,0.3281374,0.81107354,0.39076388,0.36439136,0.46357065,0.23330514,0.87177217,0.6432313,0.58056945,0.705615,0.2799337,0.88802624,0.735837,0.27334493,0.7110604,0.48472935,0.902754,0.86630356,0.5317143,0.35191602,0.57944447,0.77101594,0.48646405,0.5589703,0.8087677,0.34481868,0.76789093
A2-A0D2,0.65390086,0.8238188,0.5052209,0.6954241,0.36005852,0.314366,0.6723435,0.6302865,0.75588053,0.73928124,0.47695303,0.8271911,0.8183527,0.3805446,0.35577536,0.4737707,0.8520258,0.64415735,0.46843028,0.2258729,0.7642085,0.36055866,0.47305197,0.7099407,0.8239862,0.6951089,0.43838096,0.22528708,0.36139315,0.26241282,0.7971394,0.2515567,0.21821076,0.427962,0.27963316,0.23685947,0.28256798,0.6195775,0.6271157,0.54640555,0.38629052,0.51736367,0.6700951,0.395079,0.7669723,0.71322334,0.8729953,0.6874654,0.25619024,0.74767905,0.4311637,0.59032404,0.59921014,0.2383084,0.20840698,0.8194519,0.47214213,0.51079637,0.260944,0.6763624,0.83545816,0.52950376,0.2980792,0.34297246,0.45342427,0.601167,0.6463594,0.6502938,0.21685983,0.21455184,0.418127,0.2090314,0.7276379,0.2758435,0.7957657,0.4545732,0.63806593,0.6049286,0.18652612,0.67535996,0.68018353,0.5999114,0.75707114,0.17551069,0.87039393,0.6501241,0.39159697,0.8578117,0.29978105,0.85935414,0.7901424,0.27835613,0.5433579,0.56666064,0.90604794,0.56091845,0.52741134,0.6322603,0.45363587,0.746561
A2-A0D3,0.7823592,0.24429151,0.6338948,0.48330438,0.5336958,0.41792035,0.38643616,0.6962902,0.7843577,0.65891415,0.597206,0.28495347,0.37743884,0.61745197,0.52389896,0.50646317,0.27868527,0.6285184,0.57998127,0.6612424,0.48085648,0.7236225,0.5284358,0.38801098,0.49048984,0.6212945,0.45867872,0.7972943,0.34962428,0.82068396,0.4782603,0.50973606,0.48377067,0.53384674,0.6146428,0.47635356,0.8613668,0.44620794,0.8627143,0.5316647,0.5580999,0.7080707,0.55424416,0.47374654,0.30011585,0.31884098,0.11155679,0.66913295,0.8416792,0.76435363,0.30052388,0.52710396,0.57452464,0.7106066,0.4293881,0.15678848,0.8078411,0.5060192,0.7093533,0.7071455,0.34650403,0.7568299,0.6828496,0.3752646,0.87472695,0.74461883,0.41201308,0.65619236,0.71911246,0.7025179,0.32226577,0.4232648,0.23221365,0.67443496,0.47276634,0.45972544,0.6966051,0.60373557,0.7050371,0.66908485,0.60449994,0.60481715,0.4556474,0.5930424,0.351894,0.58947444,0.5990724,0.36138135,0.32672393,0.30400032,0.5509832,0.7525799,0.23446162,0.67808676,0.21430275,0.4156641,0.3715983,0.8275611,0.7301136,0.2518549
A2-A0EO,0.26768196,0.5374144,0.74633443,0.21904281,0.40856522,0.379741,0.5741555,0.27165878,0.34283444,0.62654644,0.7565214,0.5995142,0.6792675,0.7847081,0.6275806,0.73293996,0.6720972,0.64654493,0.65959847,0.44677484,0.78318393,0.406123,0.70870316,0.43505502,0.34261036,0.45618674,0.77856714,0.49510753,0.50698304,0.8437158,0.32768637,0.47837168,0.35296905,0.67691046,0.5567433,0.43045375,0.6616084,0.5790913,0.5679648,0.29637885,0.72543293,0.588143,0.7866983,0.83206993,0.40681338,0.2784273,0.23678176,0.5384665,0.7488087,0.5209451,0.6367357,0.62042123,0.7553244,0.67106104,0.64317626,0.688106,0.58529305,0.5517037,0.4313114,0.34253752,0.41211283,0.6872695,0.49196663,0.66311574,0.5334419,0.5398273,0.33160675,0.39063454,0.6423146,0.29295656,0.5007773,0.59764826,0.5726995,0.37537038,0.3819281,0.46863025,0.5309692,0.7766896,0.6098219,0.54020536,0.2158829,0.7629981,0.34558502,0.5940988,0.6781454,0.41356733,0.72112525,0.4542009,0.60787797,0.4716887,0.52571076,0.42634624,0.6245806,0.3438685,0.43508577,0.33212665,0.5944128,0.41109973,0.73083943,0.4808954
A2-A0ES,0.24981308,0.723128,0.6795667,0.41158718,0.369101,0.452116,0.7824129,0.6300638,0.4312939,0.34131813,0.70041174,0.6210427,0.74127185,0.88263667,0.71245193,0.662724,0.47526932,0.41391736,0.6570541,0.38892964,0.7182931,0.36197326,0.6218468,0.5234704,0.40576434,0.44653594,0.81257737,0.72905594,0.6895902,0.6945262,0.6020824,0.5207101,0.43215543,0.8739697,0.40949905,0.4777357,0.46684992,0.54368484,0.49018025,0.23200254,0.54827845,0.54954255,0.8123229,0.73150223,0.28027752,0.25221148,0.38017213,0.60689473,0.61364454,0.36159647,0.45815244,0.36129493,0.71268195,0.45094833,0.7449354,0.43374878,0.33709103,0.75238216,0.5859569,0.4694335,0.4020213,0.74208665,0.5670656,0.660573,0.6060598,0.70463127,0.6492222,0.3067758,0.3268255,0.7499099,0.72480977,0.53160846,0.47418883,0.21261871,0.44844663,0.68821084,0.59562063,0.78835607,0.7747314,0.5325644,0.22388256,0.62722576,0.37948376,0.5442796,0.72526276,0.65949523,0.8191893,0.6704659,0.3377576,0.2711354,0.5434914,0.3276779,0.68259597,0.5949925,0.2829693,0.5310964,0.30401278,0.43536484,0.6137273,0.68521667
A2-A0EU,0.5840256,0.44858673,0.56122196,0.5601534,0.24814476,0.8385115,0.48624855,0.465074,0.65897644,0.5457722,0.8314209,0.5119566,0.5609805,0.5314832,0.6211618,0.64248776,0.5969516,0.4212715,0.6264514,0.7060425,0.48174638,0.4733073,0.6446906,0.45856518,0.54516065,0.5184092,0.745946,0.78568715,0.78309476,0.5359199,0.39554718,0.8059479,0.61033165,0.48757136,0.4646687,0.84430045,0.7102457,0.6237637,0.15845925,0.73440355,0.25458577,0.59296304,0.84891987,0.67946196,0.4158248,0.8285806,0.6167191,0.49970603,0.61217844,0.2599203,0.7012975,0.666524,0.46319416,0.5821816,0.7399724,0.4803002,0.28981942,0.6457741,0.47403547,0.7773792,0.5396771,0.5197453,0.7525504,0.62338245,0.44031644,0.3148389,0.8882401,0.6278068,0.5712167,0.6302147,0.48641282,0.6769372,0.34508792,0.4656523,0.4118365,0.32900584,0.23174416,0.6634566,0.76725113,0.5222466,0.4773693,0.37529126,0.38893473,0.5613074,0.4106909,0.36743295,0.4444995,0.4253314,0.63803476,0.58632374,0.5928137,0.46356618,0.60486573,0.66257477,0.43632907,0.21418129,0.7029873,0.19690467,0.6985662,0.45309335
