Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A2-A0CM,0.29156914,0.48998484,0.52154934,0.24884114,0.5748261,0.14943734,0.77577096,0.33281496,0.8679907,0.44543982,0.6162669,0.3383235,0.6752219,0.33891925,0.76775384,0.1845968,0.51071125,0.74602276,0.4298948,0.44497848,0.71341604,0.44944432,0.662168,0.34108064,0.23561542,0.25424343,0.4899153,0.40473258,0.39999256,0.49002364,0.6589521,0.34493476,0.24678244,0.5557646,0.6031832,0.40197045,0.8995976,0.4718549,0.68918985,0.66469246,0.47168976,0.25903454,0.5874245,0.47247943,0.65832925,0.35638818,0.29114902,0.37352297,0.36073387,0.728342,0.6508322,0.60854596,0.27676058,0.32463017,0.5937815,0.22982004,0.33241284,0.712023,0.30045193,0.39816102,0.7593642,0.43646884,0.69140464,0.30283356,0.3687092,0.59385717,0.23776543,0.50964904,0.15841618,0.58249855,0.75751764,0.35402596,0.18329766,0.37724924,0.19502966,0.29199895,0.45986444,0.19345859,0.7829087,0.6119427,0.6307826,0.29617932,0.61996835,0.45843837,0.67844754,0.54001015,0.74337673,0.37253657,0.6718251,0.23267707,0.24702802,0.5356648,0.7488224,0.7543757,0.734931,0.35987058,0.1330385,0.54654765,0.32723913,0.56075203
A2-A0CP,0.4983114,0.32488453,0.43926036,0.4745609,0.6603978,0.33705693,0.621747,0.2286978,0.5796121,0.41717798,0.4518095,0.7227854,0.5073236,0.4624758,0.24232684,0.73884755,0.803466,0.64228207,0.58623385,0.43519706,0.51831234,0.28814366,0.42141375,0.54411286,0.53942657,0.34524676,0.35713506,0.28033164,0.41031423,0.61859417,0.23860784,0.70447785,0.3441354,0.41879597,0.3885766,0.51131546,0.31430334,0.49221444,0.16082244,0.69229776,0.70510495,0.38087553,0.37357178,0.4611975,0.3940775,0.72645485,0.68736255,0.366405,0.7755087,0.19977449,0.49225894,0.21243839,0.4132289,0.6122137,0.45471367,0.43616256,0.32613352,0.3683629,0.69168997,0.6977697,0.44023904,0.12769441,0.6309488,0.6295965,0.31346685,0.21675578,0.4634968,0.57299227,0.34086165,0.62159526,0.2246669,0.4739289,0.6273275,0.30464128,0.5445224,0.32218328,0.62661237,0.6445712,0.30158374,0.45082688,0.3470816,0.36789352,0.7224386,0.2757075,0.77030987,0.48581684,0.28167155,0.19892295,0.5600207,0.4677804,0.45338023,0.30267176,0.3371684,0.4668228,0.14340822,0.21217059,0.58985984,0.57596,0.23233251,0.21804264
A2-A0CS,0.7703607,0.62530965,0.54174,0.57003874,0.5261203,0.42944074,0.42857832,0.38658327,0.70939624,0.45586812,0.49452654,0.85720515,0.6766226,0.52485526,0.20237543,0.8430385,0.38792104,0.57247776,0.30595514,0.5098784,0.17368749,0.20217921,0.54424495,0.4458551,0.1491686,0.14982213,0.4705459,0.35263336,0.16874754,0.1629376,0.3953709,0.6687147,0.5238894,0.47427702,0.24054444,0.7671108,0.10913837,0.4049333,0.3522945,0.61874485,0.78185076,0.6468643,0.63450634,0.40568748,0.17333135,0.37312606,0.73619217,0.40639806,0.4289821,0.18134381,0.19043091,0.6251987,0.59048945,0.63743496,0.5266029,0.6660957,0.4126447,0.42816243,0.6112713,0.55621976,0.47426152,0.409497,0.67721534,0.5810547,0.65288585,0.36132374,0.21925746,0.6579019,0.31069663,0.26798198,0.6300619,0.43790695,0.61594874,0.17661466,0.4099357,0.6025049,0.46040094,0.7861949,0.77120316,0.48347297,0.6980212,0.69654506,0.6349293,0.25660545,0.4849485,0.4344499,0.36081102,0.23920824,0.48587373,0.41482627,0.51702714,0.3598362,0.22807762,0.56956154,0.39080912,0.59064233,0.3427824,0.7223411,0.3183247,0.24542457
A2-A0CX,0.4723075,0.55476505,0.6931537,0.46009028,0.32576135,0.46723983,0.5056441,0.72029436,0.65136075,0.6124716,0.4868138,0.39398184,0.82999563,0.5622527,0.51083666,0.6985739,0.49077034,0.3775542,0.7167382,0.4663238,0.33919817,0.4401611,0.3207999,0.1976773,0.40077803,0.6540277,0.28797275,0.6254669,0.117103614,0.2471631,0.31356904,0.6327146,0.6250123,0.4938689,0.27783862,0.4715151,0.8722878,0.44097942,0.3901549,0.6568387,0.69474924,0.20988867,0.6538734,0.44779906,0.4247034,0.46756354,0.5144088,0.54545444,0.16514795,0.5390731,0.507441,0.3066311,0.5591862,0.10235499,0.12563562,0.8297686,0.7516664,0.6397465,0.7911077,0.6440456,0.297448,0.3543807,0.8140022,0.59526086,0.80271363,0.38276434,0.5268025,0.42646495,0.7723753,0.76178217,0.7135149,0.33294955,0.27476752,0.16370532,0.33321992,0.6524099,0.8129354,0.7447024,0.78353316,0.2230998,0.4737179,0.44094637,0.6618375,0.17615165,0.5638829,0.23335344,0.41729784,0.18327463,0.39444068,0.3089292,0.65845805,0.44002387,0.4102915,0.15445293,0.6678836,0.7746791,0.29132357,0.5547398,0.36987665,0.2299172
A2-A0D0,0.6809528,0.5176125,0.29906243,0.2546174,0.11301366,0.3629039,0.4825383,0.76604223,0.4039599,0.42193034,0.23231371,0.6455252,0.15166265,0.4330052,0.8112843,0.12624548,0.9233816,0.54487985,0.47308922,0.5059369,0.15621693,0.47894606,0.10540498,0.6003854,0.8992104,0.33257043,0.7387971,0.6119474,0.81671214,0.8776663,0.17832853,0.10687486,0.30919138,0.25363597,0.54260886,0.5020251,0.87670344,0.65929884,0.2648573,0.30334765,0.8447675,0.65730953,0.57653236,0.78167576,0.55835724,0.23283476,0.119391076,0.6495358,0.5529288,0.3903413,0.1046007,0.12687026,0.86056125,0.41729572,0.5899286,0.6396991,0.33082414,0.37540534,0.7520601,0.14224316,0.70391035,0.3416724,0.43843392,0.22570634,0.14192504,0.5135223,0.5591249,0.8248906,0.1545987,0.6625505,0.52444476,0.5018779,0.22115085,0.66374594,0.33440638,0.80972487,0.38849026,0.8909431,0.36893874,0.07367488,0.6608943,0.5046582,0.88909274,0.39443502,0.7914811,0.8436995,0.2985648,0.8579274,0.8749554,0.22239286,0.2661857,0.5305135,0.5326965,0.7082325,0.11492912,0.7814551,0.21994412,0.54349273,0.32615066,0.10124752
A2-A0D2,0.4148124,0.30213875,0.17805661,0.4624863,0.20072858,0.39764336,0.35375005,0.73689294,0.505476,0.32615742,0.5030425,0.23440515,0.20978557,0.16650666,0.70945865,0.15115988,0.8740047,0.4726966,0.65292287,0.32582918,0.7053739,0.8910727,0.57104075,0.17818119,0.7110069,0.4040359,0.32896,0.45277584,0.62412184,0.56834024,0.60698414,0.109561905,0.12384755,0.6730947,0.64373624,0.4936873,0.41092226,0.2395823,0.40212762,0.6249459,0.65245736,0.20159042,0.11015432,0.6219147,0.35280347,0.79338336,0.8710475,0.49341503,0.5597197,0.6038767,0.112649135,0.28080836,0.8252933,0.77693737,0.55971944,0.48661354,0.47769353,0.7483107,0.5341286,0.17798461,0.7502451,0.30413246,0.40690982,0.357411,0.58608866,0.28653768,0.61491996,0.33556575,0.15756643,0.66065234,0.70035505,0.6287774,0.2559082,0.65660244,0.7052824,0.8986828,0.8250633,0.18429919,0.38411263,0.3213075,0.60757315,0.3723618,0.612062,0.44849157,0.6810359,0.521238,0.7669239,0.36586097,0.154493,0.42307973,0.3645231,0.08761243,0.2432646,0.7966357,0.31695855,0.3748902,0.53951,0.69540685,0.23070197,0.1274324
A2-A0D3,0.5911543,0.556731,0.6446568,0.6351739,0.7385223,0.79694575,0.27159518,0.68883425,0.47821683,0.8068129,0.69851637,0.8166258,0.61746395,0.6803362,0.39474168,0.6149905,0.49681395,0.32459953,0.40631178,0.59862983,0.6718866,0.4389227,0.3969666,0.26161844,0.22269294,0.25347197,0.39908504,0.44544145,0.43022338,0.27406478,0.4373829,0.6945415,0.24939893,0.5097535,0.2107731,0.6646494,0.16496214,0.6084015,0.29320765,0.44226107,0.7209657,0.23059101,0.7495623,0.3657555,0.43093657,0.50418186,0.51122177,0.75147736,0.18872416,0.40871233,0.2563976,0.17171298,0.22963898,0.17441694,0.53404295,0.25409195,0.3629097,0.20821407,0.6411808,0.57741445,0.8118222,0.5935899,0.31479067,0.43828133,0.5282313,0.6164464,0.28108272,0.5422367,0.68722343,0.39061365,0.35761774,0.7524977,0.42609763,0.5357282,0.66227037,0.28151795,0.25501594,0.59563124,0.12358818,0.73784405,0.25041598,0.50225514,0.5072122,0.14416727,0.25502193,0.5240379,0.54733783,0.1548584,0.3501111,0.3422471,0.2881254,0.5674415,0.12210209,0.43308732,0.7062337,0.735687,0.36342603,0.610266,0.6180898,0.5202424
A2-A0EO,0.1498978,0.3219031,0.45894557,0.58245224,0.4955592,0.5265147,0.6370727,0.46023643,0.5537311,0.61443424,0.7426386,0.37820074,0.5023532,0.63928014,0.1063256,0.6451864,0.4823698,0.51707226,0.44786867,0.3204092,0.45764995,0.31961328,0.4196839,0.27291915,0.27345163,0.4928291,0.2609887,0.3934667,0.46472976,0.33915758,0.46818462,0.7421034,0.5476318,0.5403229,0.31356838,0.70669985,0.2321463,0.3979587,0.18029124,0.5859617,0.58474886,0.49888864,0.71398365,0.45364636,0.4688112,0.64149046,0.74704516,0.6472331,0.6075911,0.63528347,0.4175445,0.4299863,0.26743495,0.55319524,0.16661413,0.45224494,0.38271466,0.36285573,0.73272204,0.3791784,0.5543579,0.29338112,0.30960867,0.5357743,0.3393177,0.5380413,0.36295572,0.27173063,0.64515495,0.4654689,0.61659634,0.4931332,0.62647146,0.268612,0.37504235,0.34659842,0.544231,0.81137013,0.554308,0.33013317,0.29570293,0.63797605,0.5182509,0.17689075,0.4643594,0.5844648,0.14896664,0.24071036,0.55457556,0.5464297,0.4713459,0.45713678,0.53218395,0.53096193,0.4200564,0.24797675,0.53816473,0.6053901,0.54604393,0.23427317
A2-A0ES,0.18618107,0.21529989,0.6516595,0.5093658,0.35054278,0.4264508,0.60554224,0.5042701,0.23772441,0.1843432,0.4291295,0.34279397,0.52256215,0.48938027,0.18596227,0.56386185,0.75119364,0.38617367,0.45225093,0.22534361,0.7308055,0.27990276,0.6560392,0.5927429,0.25811663,0.6533009,0.4146649,0.553204,0.5828173,0.5277291,0.41385224,0.5744668,0.5357048,0.3123689,0.35828283,0.2144952,0.30106246,0.49995244,0.30373928,0.63389987,0.4015271,0.23617803,0.61916834,0.38459778,0.58572316,0.4396679,0.59607136,0.64534694,0.52795935,0.32863805,0.20765251,0.4844417,0.19715792,0.6495035,0.35650954,0.75787544,0.32789767,0.541247,0.7620743,0.30374223,0.545974,0.21204612,0.43126145,0.6790896,0.44959143,0.45173356,0.55316895,0.26385373,0.65118146,0.63491875,0.48657075,0.6948144,0.6856751,0.7495402,0.46943936,0.59223413,0.52517974,0.26231968,0.51166743,0.5802425,0.13721694,0.63131887,0.25343657,0.48921472,0.6609414,0.43359244,0.26400432,0.7651049,0.6266051,0.7381492,0.43319267,0.53685886,0.5144849,0.6380181,0.22864889,0.2489865,0.7011098,0.24511626,0.54104006,0.29086104
A2-A0EU,0.27032965,0.34866723,0.72387576,0.2293332,0.1627711,0.5943727,0.45835492,0.37644023,0.41027945,0.41489807,0.45603386,0.7067983,0.32921344,0.6782996,0.25736424,0.66706884,0.39946353,0.6007557,0.4969802,0.22301468,0.42576545,0.58184826,0.5736494,0.7203894,0.7140303,0.49377516,0.39431342,0.60412955,0.519927,0.6760956,0.48419452,0.7796228,0.6375031,0.29007432,0.6489658,0.41776878,0.1169953,0.7500272,0.64146084,0.667399,0.8234519,0.76064295,0.54331774,0.5348862,0.69839853,0.61055315,0.62431675,0.43396303,0.7914276,0.16217244,0.5744503,0.6144025,0.52676934,0.1279166,0.4508261,0.5610599,0.11329049,0.4881906,0.5045334,0.73669505,0.3613869,0.31720194,0.46463183,0.6251644,0.39947775,0.4078079,0.443097,0.66707903,0.7039711,0.4859299,0.346012,0.22036956,0.34324098,0.28552228,0.43094778,0.65213376,0.57966185,0.4018574,0.71898973,0.7030813,0.23000921,0.269074,0.66492945,0.44106346,0.65794075,0.6796199,0.5059478,0.68146354,0.70663,0.58165026,0.7409836,0.12778656,0.6352488,0.48094323,0.18979074,0.30416542,0.3752121,0.7458683,0.5169271,0.71368223
