,model,n_edges,cls_type,C-index,IBS,Survival Model
64,GATv2,5000,GNN,0.5104790419161677,0.2363123442864388,MTLR
65,GATv2,5000,GNN,0.6422155688622755,0.1831435001999951,DeepSurv
66,GATv2,5000,GNN,0.6383689839572193,0.211718177518903,MTLR
67,GATv2,5000,GNN,0.6169786096256684,0.2071479204836642,DeepSurv
68,GATv2,5000,GNN,0.646539027982327,0.1923096935252778,MTLR
69,GATv2,5000,GNN,0.5625920471281296,0.2174745729966452,DeepSurv
70,GATv2,5000,GNN,0.6027777777777777,0.1511730262929808,MTLR
71,GATv2,5000,GNN,0.4902777777777777,0.1729043185684276,DeepSurv
72,GATv2,5000,GNN,0.5463576158940397,0.1902190932028663,MTLR
73,GATv2,5000,GNN,0.6721854304635762,0.1886532268749512,DeepSurv
74,GATv2,5000,GNN,0.7504393673110721,0.1732921818050599,MTLR
75,GATv2,5000,GNN,0.6291739894551845,0.1810530383598513,DeepSurv
76,GATv2,5000,GNN,0.6193415637860082,0.2069375603674461,MTLR
77,GATv2,5000,GNN,0.565843621399177,0.1922987580935632,DeepSurv
78,GATv2,5000,GNN,0.3553459119496855,0.183591135719315,MTLR
79,GATv2,5000,GNN,0.6210691823899371,0.166599157341461,DeepSurv
80,GATv2,5000,GNN,0.6202090592334495,0.1341248228219677,MTLR
81,GATv2,5000,GNN,0.5766550522648084,0.1361021799867094,DeepSurv
82,GATv2,5000,GNN,0.5643115942028986,0.1618596911680525,MTLR
83,GATv2,5000,GNN,0.5135869565217391,0.1770648762430495,DeepSurv
84,GATv2,5000,GNN,0.4842105263157895,0.2430033639750945,MTLR
85,GATv2,5000,GNN,0.6368421052631579,0.1981497470417645,DeepSurv
86,GATv2,5000,GNN,0.621859296482412,0.1867001579487621,MTLR
87,GATv2,5000,GNN,0.6155778894472361,0.1636117345422619,DeepSurv
88,GATv2,5000,GNN,0.6577743902439024,0.1573987367140848,MTLR
89,GATv2,5000,GNN,0.6333841463414634,0.1655700672328226,DeepSurv
90,GATv2,5000,GNN,0.5750394944707741,0.162202344313,MTLR
91,GATv2,5000,GNN,0.6145339652448657,0.1837167443147866,DeepSurv
92,GATv2,5000,GNN,0.6365638766519823,0.1837780756387291,MTLR
93,GATv2,5000,GNN,0.6160058737151248,0.2306652351193983,DeepSurv
94,GATv2,5000,GNN,0.4833574529667149,0.2044465122351567,MTLR
95,GATv2,5000,GNN,0.4949348769898697,0.1780485076959663,DeepSurv
96,GATv2,5000,GNN,0.7233169129720853,0.1545940228619954,MTLR
97,GATv2,5000,GNN,0.6986863711001642,0.1442750814293588,DeepSurv
98,GATv2,5000,GNN,0.495253164556962,0.2106526898180278,MTLR
99,GATv2,5000,GNN,0.5917721518987342,0.1731612417418046,DeepSurv
100,GATv2,5000,GNN,0.5185185185185185,0.1758318171287337,MTLR
101,GATv2,5000,GNN,0.6462962962962963,0.2364360440509813,DeepSurv
102,GATv2,5000,GNN,0.7076433121019108,0.1820394309545877,MTLR
103,GATv2,5000,GNN,0.6668789808917197,0.199446864102833,DeepSurv
104,GATv2,5000,GNN,0.6166044776119403,0.1547142218999597,MTLR
105,GATv2,5000,GNN,0.6166044776119403,0.1567797087697255,DeepSurv
106,GATv2,5000,GNN,0.7546875,0.1523729862098958,MTLR
107,GATv2,5000,GNN,0.72265625,0.1592878205089829,DeepSurv
108,GATv2,5000,GNN,0.5505952380952381,0.159568878085807,MTLR
109,GATv2,5000,GNN,0.566468253968254,0.1774636967007976,DeepSurv
110,GATv2,5000,GNN,0.6508152173913043,0.1658291041235675,MTLR
111,GATv2,5000,GNN,0.6684782608695652,0.2065889576645412,DeepSurv
112,GATv2,5000,GNN,0.6264619883040936,0.1538630919794187,MTLR
113,GATv2,5000,GNN,0.6074561403508771,0.1639618893683991,DeepSurv
114,GATv2,5000,GNN,0.5493358633776091,0.171297874108104,MTLR
115,GATv2,5000,GNN,0.611954459203036,0.1933448075538658,DeepSurv
116,GATv2,5000,GNN,0.6003886010362695,0.2191692176932752,MTLR
117,GATv2,5000,GNN,0.5705958549222798,0.1935132048688455,DeepSurv
118,GATv2,5000,GNN,0.7261904761904762,0.155332264420858,MTLR
119,GATv2,5000,GNN,0.717032967032967,0.1871238380209664,DeepSurv
120,GAT,5000,MLP,0.7326086956521739,0.1445110179693553,MTLR
121,GAT,5000,MLP,0.7152173913043478,0.1597004017434543,DeepSurv
122,GAT,5000,MLP,0.5270522388059702,0.1332466055772973,MTLR
123,GAT,5000,MLP,0.5326492537313433,0.1394139898201232,DeepSurv
124,GAT,5000,MLP,0.6017964071856288,0.2455712991338744,MTLR
125,GAT,5000,MLP,0.6422155688622755,0.2024783013098417,DeepSurv
126,GAT,5000,MLP,0.608957219251337,0.2746000530099816,MTLR
127,GAT,5000,MLP,0.5875668449197861,0.2181941003894332,DeepSurv
128,GAT,5000,MLP,0.5662739322533137,0.2034918914175684,MTLR
129,GAT,5000,MLP,0.3851251840942563,0.1908816265923386,DeepSurv
130,GAT,5000,MLP,0.5888888888888889,0.1536728912817392,MTLR
131,GAT,5000,MLP,0.5416666666666666,0.1669572244415066,DeepSurv
132,GAT,5000,MLP,0.5405629139072847,0.181650410910923,MTLR
133,GAT,5000,MLP,0.6548013245033113,0.190936841817364,DeepSurv
134,GAT,5000,MLP,0.7240773286467487,0.1840752475750905,MTLR
135,GAT,5000,MLP,0.5096660808435852,0.1874859673247489,DeepSurv
136,GAT,5000,MLP,0.6159122085048011,0.2335704734950288,MTLR
137,GAT,5000,MLP,0.5679012345679012,0.1845518754531027,DeepSurv
138,GAT,5000,MLP,0.3891509433962264,0.1709947407251583,MTLR
139,GAT,5000,MLP,0.6108490566037735,0.1664972047894329,DeepSurv
140,GAT,5000,MLP,0.6994773519163763,0.1367572793700865,MTLR
141,GAT,5000,MLP,0.6054006968641115,0.1342152903452265,DeepSurv
142,GAT,5000,MLP,0.5507246376811594,0.1998533129846412,MTLR
