model,acc,f1,chisqr,p_value,c_index,ibs
cls_gat,0.8811881188118812,0.8707759699624531,16.821760674713836,0.0007689683958834,,
cls_gcn,0.9108910891089108,0.9059343434343434,16.58001605090911,0.0008621470840068,,
cls_mlp,0.8910891089108911,0.8864663606991585,12.219127334824584,0.0066690056734843,,
cls_mogcn,0.8811881188118812,0.8664186604874509,16.976392594248864,0.0007146873982838,,
mt_gat,0.8316831683168316,0.8231525784157363,18.42733288597664,0.0003590219352789,0.7037037037037037,
mt_gcn,0.8910891089108911,0.8893623737373737,16.963565051805283,0.0007190416221104,0.6710239651416122,
mt_mlp,0.9306930693069309,0.9408812729498164,13.069373051842092,0.0044889589065996,0.8605664488017429,
surv_gat,,,,,0.6198257080610022,
surv_gcn,,,,,0.6525054466230937,
surv_mlp,,,,,0.8213507625272332,
