model,mean_acc,sd_acc,mean_f1,sd_f1,mean_chisqr,sd_chsqr,mean_p_value,sd_p_value,mean_best_epoch,sd_best_epoch,mean_c_index,sd_c_index
cls_gat,0.928701923076923,0.0300138651391605,0.9126820216365548,0.0434328790808163,14.495901926709532,1.4976395604152413,0.0029783424934526,0.0022996891552778,15.8,2.638181191654584,,
cls_gcn,0.925625,0.0325887783804695,0.9084705020515926,0.0555353685966448,14.658411574755888,1.4036071003162092,0.0026292505301913,0.001669554691268,20.0,7.071067811865476,,
cls_mlp,0.9472596153846154,0.0210292440432267,0.9327126348084722,0.0337917360511865,11.368556868976754,0.6247580851486523,0.0103314420364247,0.0032668640593531,13.4,2.870540018881465,,
cls_mogcn,0.913221153846154,0.036947357801617,0.8840368530085089,0.0673648161657553,15.547128852160755,1.83944062103592,0.0018543343665627,0.0011191389299094,125.6,23.80420130985285,,
mt_gat,0.8852884615384615,0.0522261011706897,0.8528489106732444,0.0730955809232947,13.005548523310852,2.860847210698537,0.0089008330988485,0.0081857475475102,51.2,14.837789592793126,0.6088107954543727,0.1207242730979062
mt_gcn,0.8603365384615385,0.0364225133982887,0.8227482907488455,0.0512071715037858,13.03138346825862,1.961948557834288,0.0062809533739776,0.0040656327886751,18.0,4.774934554525329,0.6312854551117625,0.1481245125501101
mt_mlp,0.906875,0.0256081720614994,0.8676314105238383,0.0452395962973046,12.894420167526832,1.82039113393444,0.0065417624413672,0.0042261051930253,14.6,3.6110940170535577,0.6042195290060387,0.1349792827077014
surv_gat,,,,,,,,,15.2,5.075431016179809,0.6031284563135352,0.1279821901581324
surv_gcn,,,,,,,,,21.0,6.603029607687671,0.6237089033085403,0.1580516208406246
surv_mlp,,,,,,,,,13.2,2.4,0.6055871197085573,0.164746385256559
