model,acc,f1,chisqr,p_value,c_index,ibs
mt_gat,0.8217821782178217,0.813929579192737,16.77726060716061,0.0007853350357724,0.803293018264323,0.2782727840454119
mt_gcn,0.8811881188118812,0.8814937388193201,14.183452867034443,0.0026657842603983,0.854962857896223,0.2176629923403125
mt_mlp,0.900990099009901,0.8935096796989994,13.142350957323089,0.0043386610603071,0.7274636781495752,0.3127142627818775
surv_gat,,,,,0.7486661407721167,0.3731628152202605
surv_gcn,,,,,0.7391125833204378,0.2870287775504842
surv_mlp,,,,,0.8494783835142569,0.188521737186442
